combination,lr,wd,ls,test_accuracy,best_val_acc,final_val_acc,final_train_acc,epochs,precision_weighted,recall_weighted,f1_weighted
7,0.0005,0.005,0.05,0.9799196787148594,0.965368,0.95671,0.998197,95,0.9807121462438383,0.9799196787148594,0.9799999678586293
13,0.001,0.001,0.05,0.9759036144578314,0.978355,0.961039,0.997295,96,0.9771521985377407,0.9759036144578314,0.976072179428828
14,0.001,0.001,0.1,0.9759036144578314,0.965368,0.961039,0.998197,96,0.9766851845933691,0.9759036144578314,0.9759043708846051
17,0.001,0.005,0.1,0.9759036144578314,0.978355,0.961039,0.998197,120,0.9774170739335747,0.9759036144578314,0.9758086009605227
2,0.0005,0.0005,0.1,0.9678714859437751,0.974026,0.961039,0.993688,69,0.9678274333198377,0.9678714859437751,0.9676176462055541
3,0.0005,0.0005,0.15,0.9678714859437751,0.974026,0.930736,0.999098,98,0.9687712578240206,0.9678714859437751,0.9677689853697314
11,0.001,0.0005,0.1,0.9678714859437751,0.974026,0.943723,0.974752,76,0.9693322005972608,0.9678714859437751,0.9679453469843888
15,0.001,0.001,0.15,0.9678714859437751,0.974026,0.95671,0.99459,77,0.9703664901150496,0.9678714859437751,0.9680680530532852
18,0.001,0.005,0.15,0.9678714859437751,0.965368,0.943723,0.945897,61,0.9693709904553277,0.9678714859437751,0.968046730193224
8,0.0005,0.005,0.1,0.963855421686747,0.974026,0.961039,0.995491,83,0.9659211203789517,0.963855421686747,0.9640015705315413
19,0.002,0.0005,0.05,0.963855421686747,0.965368,0.930736,0.958521,67,0.9658280202029413,0.963855421686747,0.9639323366757908
6,0.0005,0.001,0.15,0.9598393574297188,0.961039,0.948052,0.99459,81,0.960992688703532,0.9598393574297188,0.9597238225243717
24,0.002,0.001,0.15,0.9598393574297188,0.969697,0.926407,0.972949,72,0.9621579251056682,0.9598393574297188,0.959987472736104
10,0.001,0.0005,0.05,0.9558232931726908,0.961039,0.909091,0.97385,66,0.9572247181056632,0.9558232931726908,0.9558691077387579
25,0.002,0.005,0.05,0.9558232931726908,0.965368,0.943723,0.993688,99,0.9589175956257184,0.9558232931726908,0.9559312141230575
9,0.0005,0.005,0.15,0.9518072289156626,0.952381,0.926407,0.976555,68,0.9551019224881089,0.9518072289156626,0.9518761433804753
23,0.002,0.001,0.1,0.9518072289156626,0.974026,0.965368,0.999098,98,0.9538006059858989,0.9518072289156626,0.9516337687435613
26,0.002,0.005,0.1,0.9518072289156626,0.974026,0.961039,0.998197,116,0.9535681875878043,0.9518072289156626,0.9520764004030328
1,0.0005,0.0005,0.05,0.9477911646586346,0.969697,0.948052,0.990081,73,0.9481208477803553,0.9477911646586346,0.9474333517679243
12,0.001,0.0005,0.15,0.9477911646586346,0.961039,0.939394,0.997295,81,0.9493540647958318,0.9477911646586346,0.9476292987391445
20,0.002,0.0005,0.1,0.9477911646586346,0.965368,0.952381,0.990081,93,0.9502960190763879,0.9477911646586346,0.9475190985797312
4,0.0005,0.001,0.05,0.9437751004016064,0.952381,0.952381,0.981966,64,0.9496113522890497,0.9437751004016064,0.9445160278770692
16,0.001,0.005,0.05,0.9437751004016064,0.965368,0.952381,0.987376,72,0.9456094264335927,0.9437751004016064,0.9439489987486397
5,0.0005,0.001,0.1,0.9357429718875502,0.930736,0.91342,0.930568,52,0.9417520657342012,0.9357429718875502,0.9367125730152589
22,0.002,0.001,0.05,0.9357429718875502,0.95671,0.935065,0.958521,59,0.9390933207800677,0.9357429718875502,0.9353399842241303
27,0.002,0.005,0.15,0.9317269076305221,0.95671,0.926407,0.940487,60,0.9357451895826995,0.9317269076305221,0.9320650927963128
21,0.002,0.0005,0.15,0.9156626506024096,0.961039,0.930736,0.93147,55,0.9192669707337072,0.9156626506024096,0.9158098442286892
